hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],tanh,1,10.0,512,0.75375,0.755
[32],tanh,1,1.0,16,0.80125,0.825
[32],tanh,1,1.0,32,0.8175,0.815
[32],tanh,1,1.0,64,0.81875,0.8
[32],tanh,1,1.0,128,0.78875,0.795
[32],tanh,1,1.0,256,0.7725,0.775
[32],tanh,1,1.0,512,0.74875,0.765
[32],tanh,1,0.1,16,0.84125,0.88
[32],tanh,1,0.1,32,0.84125,0.875
[32],tanh,1,0.1,64,0.85125,0.845
[32],tanh,1,0.1,128,0.79,0.795
[32],tanh,1,0.1,256,0.83,0.82
[32],tanh,1,0.1,512,0.78,0.805
[32],tanh,1,0.01,16,0.83875,0.845
[32],tanh,1,0.01,32,0.83375,0.84
[32],tanh,1,0.01,64,0.82625,0.845
[32],tanh,1,0.01,128,0.80625,0.795
[32],tanh,1,0.01,256,0.78125,0.79
[32],tanh,1,0.01,512,0.78125,0.76
[32],tanh,1,0.001,16,0.745,0.805
[32],tanh,1,0.001,32,0.485,0.495
[32],tanh,1,0.001,64,0.625,0.58
[32],tanh,1,0.001,128,0.50125,0.37
[32],tanh,1,0.001,256,0.53875,0.61
[32],tanh,1,0.001,512,0.5625,0.57
[32],tanh,1,0.0001,16,0.65375,0.71
[32],tanh,1,0.0001,32,0.4725,0.44
[32],tanh,1,0.0001,64,0.36,0.325
[32],tanh,1,0.0001,128,0.6375,0.605
[32],tanh,1,0.0001,256,0.48,0.505
[32],tanh,1,0.0001,512,0.43625,0.405
[32],tanh,10,10.0,16,0.765,0.79
[32],tanh,10,10.0,32,0.8125,0.805
[32],tanh,10,10.0,64,0.68125,0.67
[32],tanh,10,10.0,128,0.74,0.755
[32],tanh,10,10.0,256,0.7825,0.79
[32],tanh,10,10.0,512,0.79125,0.77
[32],tanh,10,1.0,16,0.86,0.845
[32],tanh,10,1.0,32,0.835,0.835
[32],tanh,10,1.0,64,0.89625,0.91
[32],tanh,10,1.0,128,0.8525,0.815
[32],tanh,10,1.0,256,0.86,0.825
[32],tanh,10,1.0,512,0.835,0.845
[32],tanh,10,0.1,16,0.895,0.915
[32],tanh,10,0.1,32,0.98375,0.945
[32],tanh,10,0.1,64,0.9575,0.955
[32],tanh,10,0.1,128,0.95375,0.925
[32],tanh,10,0.1,256,0.915,0.915
[32],tanh,10,0.1,512,0.93875,0.925
[32],tanh,10,0.01,16,0.9375,0.94
[32],tanh,10,0.01,32,0.93,0.945
[32],tanh,10,0.01,64,0.9125,0.925
[32],tanh,10,0.01,128,0.8675,0.86
[32],tanh,10,0.01,256,0.85625,0.845
[32],tanh,10,0.01,512,0.83125,0.83
[32],tanh,10,0.001,16,0.8375,0.845
[32],tanh,10,0.001,32,0.83625,0.825
[32],tanh,10,0.001,64,0.83125,0.82
[32],tanh,10,0.001,128,0.81125,0.805
[32],tanh,10,0.001,256,0.76125,0.8
[32],tanh,10,0.001,512,0.6475,0.685
[32],tanh,10,0.0001,16,0.7775,0.765
[32],tanh,10,0.0001,32,0.73625,0.78
[32],tanh,10,0.0001,64,0.49875,0.435
[32],tanh,10,0.0001,128,0.5725,0.61
[32],tanh,10,0.0001,256,0.48625,0.46
[32],tanh,10,0.0001,512,0.48125,0.435
[32],tanh,25,10.0,16,0.8075,0.805
[32],tanh,25,10.0,32,0.7775,0.82
[32],tanh,25,10.0,64,0.81,0.835
[32],tanh,25,10.0,128,0.83375,0.815
[32],tanh,25,10.0,256,0.7625,0.735
[32],tanh,25,10.0,512,0.83875,0.845
[32],tanh,25,1.0,16,0.80875,0.805
[32],tanh,25,1.0,32,0.8825,0.88
[32],tanh,25,1.0,64,0.77625,0.785
[32],tanh,25,1.0,128,0.93125,0.895
[32],tanh,25,1.0,256,0.90625,0.875
[32],tanh,25,1.0,512,0.935,0.87
[32],tanh,25,0.1,16,0.9725,0.905
[32],tanh,25,0.1,32,0.985,0.935
[32],tanh,25,0.1,64,0.97625,0.955
[32],tanh,25,0.1,128,0.99125,0.945
[32],tanh,25,0.1,256,0.9775,0.955
[32],tanh,25,0.1,512,0.97125,0.955
[32],tanh,25,0.01,16,0.975,0.96
[32],tanh,25,0.01,32,0.97,0.95
[32],tanh,25,0.01,64,0.96625,0.965
[32],tanh,25,0.01,128,0.945,0.925
[32],tanh,25,0.01,256,0.89375,0.905
[32],tanh,25,0.01,512,0.88875,0.89
[32],tanh,25,0.001,16,0.88,0.89
[32],tanh,25,0.001,32,0.85125,0.835
[32],tanh,25,0.001,64,0.845,0.83
[32],tanh,25,0.001,128,0.8275,0.82
[32],tanh,25,0.001,256,0.81625,0.805
[32],tanh,25,0.001,512,0.81375,0.8
[32],tanh,25,0.0001,16,0.81,0.795
[32],tanh,25,0.0001,32,0.75875,0.785
[32],tanh,25,0.0001,64,0.77625,0.81
[32],tanh,25,0.0001,128,0.73125,0.735
[32],tanh,25,0.0001,256,0.67375,0.675
[32],tanh,25,0.0001,512,0.57375,0.64
[32],tanh,50,10.0,16,0.7875,0.74
[32],tanh,50,10.0,32,0.7575,0.8
[32],tanh,50,10.0,64,0.73125,0.755
[32],tanh,50,10.0,128,0.80625,0.8
[32],tanh,50,10.0,256,0.84625,0.85
[32],tanh,50,10.0,512,0.83125,0.8
[32],tanh,50,1.0,16,0.84375,0.835
[32],tanh,50,1.0,32,0.84875,0.875
[32],tanh,50,1.0,64,0.89375,0.9
[32],tanh,50,1.0,128,0.9075,0.875
[32],tanh,50,1.0,256,0.875,0.865
[32],tanh,50,1.0,512,0.975,0.885
[32],tanh,50,0.1,16,0.95875,0.9
[32],tanh,50,0.1,32,0.99875,0.945
[32],tanh,50,0.1,64,1.0,0.925
[32],tanh,50,0.1,128,0.995,0.945
[32],tanh,50,0.1,256,0.99125,0.94
[32],tanh,50,0.1,512,0.995,0.965
[32],tanh,50,0.01,16,0.9875,0.945
[32],tanh,50,0.01,32,0.98,0.935
[32],tanh,50,0.01,64,0.98125,0.96
[32],tanh,50,0.01,128,0.97375,0.94
[32],tanh,50,0.01,256,0.9525,0.945
[32],tanh,50,0.01,512,0.9375,0.935
[32],tanh,50,0.001,16,0.93125,0.935
[32],tanh,50,0.001,32,0.905,0.915
[32],tanh,50,0.001,64,0.8825,0.89
[32],tanh,50,0.001,128,0.8425,0.835
[32],tanh,50,0.001,256,0.835,0.835
[32],tanh,50,0.001,512,0.82125,0.815
[32],tanh,50,0.0001,16,0.83375,0.82
[32],tanh,50,0.0001,32,0.80125,0.815
[32],tanh,50,0.0001,64,0.80125,0.805
[32],tanh,50,0.0001,128,0.8125,0.81
[32],tanh,50,0.0001,256,0.645,0.74
[32],tanh,50,0.0001,512,0.57125,0.51
[32],tanh,100,10.0,16,0.7875,0.835
[32],tanh,100,10.0,32,0.78875,0.82
[32],tanh,100,10.0,64,0.81125,0.785
[32],tanh,100,10.0,128,0.72625,0.73
[32],tanh,100,10.0,256,0.7175,0.72
[32],tanh,100,10.0,512,0.86,0.855
[32],tanh,100,1.0,16,0.85875,0.865
[32],tanh,100,1.0,32,0.89125,0.895
[32],tanh,100,1.0,64,0.905,0.89
[32],tanh,100,1.0,128,0.8975,0.915
[32],tanh,100,1.0,256,0.935,0.89
[32],tanh,100,1.0,512,0.97625,0.845
[32],tanh,100,0.1,16,0.98,0.905
[32],tanh,100,0.1,32,1.0,0.94
[32],tanh,100,0.1,64,1.0,0.925
[32],tanh,100,0.1,128,1.0,0.925
[32],tanh,100,0.1,256,1.0,0.92
[32],tanh,100,0.1,512,1.0,0.905
[32],tanh,100,0.01,16,1.0,0.94
[32],tanh,100,0.01,32,1.0,0.93
[32],tanh,100,0.01,64,0.99875,0.945
[32],tanh,100,0.01,128,0.99625,0.945
[32],tanh,100,0.01,256,0.9775,0.945
[32],tanh,100,0.01,512,0.97375,0.95
[32],tanh,100,0.001,16,0.97375,0.95
[32],tanh,100,0.001,32,0.94875,0.955
[32],tanh,100,0.001,64,0.91875,0.915
[32],tanh,100,0.001,128,0.89625,0.915
[32],tanh,100,0.001,256,0.84875,0.84
[32],tanh,100,0.001,512,0.83875,0.84
[32],tanh,100,0.0001,16,0.83,0.84
[32],tanh,100,0.0001,32,0.83625,0.835
[32],tanh,100,0.0001,64,0.83375,0.825
[32],tanh,100,0.0001,128,0.80875,0.81
[32],tanh,100,0.0001,256,0.7575,0.76
[32],tanh,100,0.0001,512,0.56875,0.52
[32],tanh,250,10.0,16,0.805,0.755
[32],tanh,250,10.0,32,0.73875,0.705
[32],tanh,250,10.0,64,0.8525,0.86
[32],tanh,250,10.0,128,0.8175,0.835
[32],tanh,250,10.0,256,0.79625,0.82
[32],tanh,250,10.0,512,0.80625,0.82
[32],tanh,250,1.0,16,0.8475,0.89
[32],tanh,250,1.0,32,0.82,0.815
[32],tanh,250,1.0,64,0.88625,0.885
[32],tanh,250,1.0,128,0.89875,0.925
[32],tanh,250,1.0,256,0.91375,0.85
[32],tanh,250,1.0,512,1.0,0.89
[32],tanh,250,0.1,16,1.0,0.915
[32],tanh,250,0.1,32,1.0,0.91
[32],tanh,250,0.1,64,1.0,0.92
[32],tanh,250,0.1,128,1.0,0.915
[32],tanh,250,0.1,256,1.0,0.92
[32],tanh,250,0.1,512,1.0,0.945
[32],tanh,250,0.01,16,1.0,0.935
[32],tanh,250,0.01,32,1.0,0.955
[32],tanh,250,0.01,64,1.0,0.94
[32],tanh,250,0.01,128,1.0,0.95
[32],tanh,250,0.01,256,1.0,0.945
[32],tanh,250,0.01,512,0.99875,0.94
[32],tanh,250,0.001,16,0.9875,0.95
[32],tanh,250,0.001,32,0.97875,0.955
[32],tanh,250,0.001,64,0.97,0.945
[32],tanh,250,0.001,128,0.96,0.96
[32],tanh,250,0.001,256,0.9125,0.93
[32],tanh,250,0.001,512,0.89125,0.9
[32],tanh,250,0.0001,16,0.885,0.9
[32],tanh,250,0.0001,32,0.8625,0.835
[32],tanh,250,0.0001,64,0.84,0.83
[32],tanh,250,0.0001,128,0.82625,0.825
[32],tanh,250,0.0001,256,0.82875,0.82
[32],tanh,250,0.0001,512,0.78875,0.805
"[32, 16]",relu,1,10.0,16,0.51875,0.44
"[32, 16]",relu,1,10.0,32,0.48875,0.56
"[32, 16]",relu,1,10.0,64,0.52125,0.445
"[32, 16]",relu,1,10.0,128,0.51625,0.445
"[32, 16]",relu,1,10.0,256,0.59125,0.635
"[32, 16]",relu,1,10.0,512,0.20875,0.205
"[32, 16]",relu,1,1.0,16,0.48125,0.56
"[32, 16]",relu,1,1.0,32,0.53875,0.475
"[32, 16]",relu,1,1.0,64,0.48125,0.56
"[32, 16]",relu,1,1.0,128,0.53625,0.585
"[32, 16]",relu,1,1.0,256,0.53125,0.455
"[32, 16]",relu,1,1.0,512,0.48125,0.56
"[32, 16]",relu,1,0.1,16,0.7975,0.845
"[32, 16]",relu,1,0.1,32,0.87375,0.85
"[32, 16]",relu,1,0.1,64,0.8825,0.89
"[32, 16]",relu,1,0.1,128,0.86375,0.88
"[32, 16]",relu,1,0.1,256,0.78125,0.75
"[32, 16]",relu,1,0.1,512,0.58375,0.565
"[32, 16]",relu,1,0.01,16,0.89125,0.92
"[32, 16]",relu,1,0.01,32,0.88125,0.89
"[32, 16]",relu,1,0.01,64,0.87875,0.895
"[32, 16]",relu,1,0.01,128,0.79875,0.805
"[32, 16]",relu,1,0.01,256,0.75875,0.76
"[32, 16]",relu,1,0.01,512,0.6825,0.64
"[32, 16]",relu,1,0.001,16,0.72875,0.665
"[32, 16]",relu,1,0.001,32,0.71375,0.73
"[32, 16]",relu,1,0.001,64,0.60375,0.58
"[32, 16]",relu,1,0.001,128,0.52875,0.48
"[32, 16]",relu,1,0.001,256,0.52125,0.43
"[32, 16]",relu,1,0.001,512,0.48125,0.555
"[32, 16]",relu,1,0.0001,16,0.48125,0.56
"[32, 16]",relu,1,0.0001,32,0.5175,0.58
"[32, 16]",relu,1,0.0001,64,0.52,0.44
"[32, 16]",relu,1,0.0001,128,0.50875,0.54
"[32, 16]",relu,1,0.0001,256,0.48625,0.455
"[32, 16]",relu,1,0.0001,512,0.52,0.44
"[32, 16]",relu,10,10.0,16,0.48125,0.56
"[32, 16]",relu,10,10.0,32,0.52,0.44
"[32, 16]",relu,10,10.0,64,0.48875,0.565
"[32, 16]",relu,10,10.0,128,0.51875,0.44
"[32, 16]",relu,10,10.0,256,0.56625,0.5
"[32, 16]",relu,10,10.0,512,0.54625,0.5
"[32, 16]",relu,10,1.0,16,0.48125,0.56
"[32, 16]",relu,10,1.0,32,0.48125,0.56
"[32, 16]",relu,10,1.0,64,0.48125,0.56
"[32, 16]",relu,10,1.0,128,0.52,0.44
"[32, 16]",relu,10,1.0,256,0.52,0.44
"[32, 16]",relu,10,1.0,512,0.48125,0.56
"[32, 16]",relu,10,0.1,16,0.87,0.9
"[32, 16]",relu,10,0.1,32,0.91,0.885
"[32, 16]",relu,10,0.1,64,0.92,0.905
"[32, 16]",relu,10,0.1,128,0.94,0.925
"[32, 16]",relu,10,0.1,256,0.9325,0.965
"[32, 16]",relu,10,0.1,512,0.94,0.935
"[32, 16]",relu,10,0.01,16,0.9375,0.91
"[32, 16]",relu,10,0.01,32,0.9625,0.95
"[32, 16]",relu,10,0.01,64,0.9575,0.95
"[32, 16]",relu,10,0.01,128,0.92125,0.935
"[32, 16]",relu,10,0.01,256,0.90875,0.93
"[32, 16]",relu,10,0.01,512,0.90125,0.91
"[32, 16]",relu,10,0.001,16,0.91625,0.925
"[32, 16]",relu,10,0.001,32,0.90625,0.915
"[32, 16]",relu,10,0.001,64,0.87625,0.905
"[32, 16]",relu,10,0.001,128,0.855,0.86
"[32, 16]",relu,10,0.001,256,0.825,0.84
"[32, 16]",relu,10,0.001,512,0.64375,0.66
"[32, 16]",relu,10,0.0001,16,0.73375,0.73
"[32, 16]",relu,10,0.0001,32,0.52625,0.585
"[32, 16]",relu,10,0.0001,64,0.63875,0.655
"[32, 16]",relu,10,0.0001,128,0.48875,0.57
"[32, 16]",relu,10,0.0001,256,0.51875,0.44
"[32, 16]",relu,10,0.0001,512,0.48125,0.56
"[32, 16]",relu,25,10.0,16,0.52875,0.47
"[32, 16]",relu,25,10.0,32,0.51875,0.44
"[32, 16]",relu,25,10.0,64,0.48125,0.56
"[32, 16]",relu,25,10.0,128,0.51875,0.44
"[32, 16]",relu,25,10.0,256,0.51875,0.44
"[32, 16]",relu,25,10.0,512,0.51875,0.435
"[32, 16]",relu,25,1.0,16,0.52,0.44
"[32, 16]",relu,25,1.0,32,0.51875,0.445
"[32, 16]",relu,25,1.0,64,0.48125,0.56
"[32, 16]",relu,25,1.0,128,0.68625,0.69
"[32, 16]",relu,25,1.0,256,0.52375,0.44
"[32, 16]",relu,25,1.0,512,0.56625,0.535
"[32, 16]",relu,25,0.1,16,0.5975,0.545
"[32, 16]",relu,25,0.1,32,0.91625,0.905
"[32, 16]",relu,25,0.1,64,0.9775,0.96
"[32, 16]",relu,25,0.1,128,0.965,0.91
"[32, 16]",relu,25,0.1,256,0.9625,0.935
"[32, 16]",relu,25,0.1,512,0.98,0.965
"[32, 16]",relu,25,0.01,16,0.98125,0.945
"[32, 16]",relu,25,0.01,32,0.98375,0.965
"[32, 16]",relu,25,0.01,64,0.97375,0.985
"[32, 16]",relu,25,0.01,128,0.96125,0.96
"[32, 16]",relu,25,0.01,256,0.95375,0.96
"[32, 16]",relu,25,0.01,512,0.93125,0.93
"[32, 16]",relu,25,0.001,16,0.95375,0.94
"[32, 16]",relu,25,0.001,32,0.9375,0.95
"[32, 16]",relu,25,0.001,64,0.91125,0.925
"[32, 16]",relu,25,0.001,128,0.90625,0.92
"[32, 16]",relu,25,0.001,256,0.8775,0.855
"[32, 16]",relu,25,0.001,512,0.8525,0.825
"[32, 16]",relu,25,0.0001,16,0.87125,0.9
"[32, 16]",relu,25,0.0001,32,0.79625,0.815
"[32, 16]",relu,25,0.0001,64,0.7825,0.805
"[32, 16]",relu,25,0.0001,128,0.52625,0.455
"[32, 16]",relu,25,0.0001,256,0.71375,0.68
"[32, 16]",relu,25,0.0001,512,0.5625,0.5
"[32, 16]",relu,50,10.0,16,0.5225,0.44
"[32, 16]",relu,50,10.0,32,0.51875,0.44
"[32, 16]",relu,50,10.0,64,0.48125,0.56
"[32, 16]",relu,50,10.0,128,0.48875,0.58
"[32, 16]",relu,50,10.0,256,0.48125,0.56
"[32, 16]",relu,50,10.0,512,0.52125,0.44
"[32, 16]",relu,50,1.0,16,0.48125,0.56
"[32, 16]",relu,50,1.0,32,0.52125,0.45
"[32, 16]",relu,50,1.0,64,0.51875,0.44
"[32, 16]",relu,50,1.0,128,0.51875,0.44
"[32, 16]",relu,50,1.0,256,0.67625,0.665
"[32, 16]",relu,50,1.0,512,0.51875,0.44
"[32, 16]",relu,50,0.1,16,0.68875,0.69
"[32, 16]",relu,50,0.1,32,0.91375,0.91
"[32, 16]",relu,50,0.1,64,0.94125,0.915
"[32, 16]",relu,50,0.1,128,0.9825,0.945
"[32, 16]",relu,50,0.1,256,0.96375,0.93
"[32, 16]",relu,50,0.1,512,0.985,0.96
"[32, 16]",relu,50,0.01,16,0.99875,0.96
"[32, 16]",relu,50,0.01,32,0.9925,0.97
"[32, 16]",relu,50,0.01,64,0.99625,0.955
"[32, 16]",relu,50,0.01,128,0.9975,0.975
"[32, 16]",relu,50,0.01,256,0.975,0.95
"[32, 16]",relu,50,0.01,512,0.9875,0.975
"[32, 16]",relu,50,0.001,16,0.98,0.96
"[32, 16]",relu,50,0.001,32,0.9675,0.965
"[32, 16]",relu,50,0.001,64,0.94625,0.935
"[32, 16]",relu,50,0.001,128,0.93,0.935
"[32, 16]",relu,50,0.001,256,0.89625,0.885
"[32, 16]",relu,50,0.001,512,0.8825,0.89
"[32, 16]",relu,50,0.0001,16,0.8825,0.895
"[32, 16]",relu,50,0.0001,32,0.8825,0.9
"[32, 16]",relu,50,0.0001,64,0.8225,0.845
"[32, 16]",relu,50,0.0001,128,0.7875,0.75
"[32, 16]",relu,50,0.0001,256,0.72875,0.735
"[32, 16]",relu,50,0.0001,512,0.51,0.585
"[32, 16]",relu,100,10.0,16,0.51875,0.44
"[32, 16]",relu,100,10.0,32,0.51875,0.44
"[32, 16]",relu,100,10.0,64,0.5225,0.44
"[32, 16]",relu,100,10.0,128,0.52625,0.45
"[32, 16]",relu,100,10.0,256,0.52,0.45
"[32, 16]",relu,100,10.0,512,0.51875,0.44
"[32, 16]",relu,100,1.0,16,0.48125,0.56
"[32, 16]",relu,100,1.0,32,0.55,0.475
"[32, 16]",relu,100,1.0,64,0.48125,0.56
"[32, 16]",relu,100,1.0,128,0.54,0.47
"[32, 16]",relu,100,1.0,256,0.48125,0.56
"[32, 16]",relu,100,1.0,512,0.63,0.655
"[32, 16]",relu,100,0.1,16,0.625,0.6
"[32, 16]",relu,100,0.1,32,0.665,0.715
"[32, 16]",relu,100,0.1,64,0.755,0.74
"[32, 16]",relu,100,0.1,128,0.97625,0.94
"[32, 16]",relu,100,0.1,256,0.99,0.93
"[32, 16]",relu,100,0.1,512,0.99875,0.955
"[32, 16]",relu,100,0.01,16,1.0,0.965
"[32, 16]",relu,100,0.01,32,1.0,0.96
"[32, 16]",relu,100,0.01,64,1.0,0.965
"[32, 16]",relu,100,0.01,128,1.0,0.935
"[32, 16]",relu,100,0.01,256,0.99625,0.945
"[32, 16]",relu,100,0.01,512,1.0,0.95
"[32, 16]",relu,100,0.001,16,0.98875,0.97
"[32, 16]",relu,100,0.001,32,0.985,0.975
"[32, 16]",relu,100,0.001,64,0.97125,0.94
"[32, 16]",relu,100,0.001,128,0.95875,0.96
"[32, 16]",relu,100,0.001,256,0.93,0.945
"[32, 16]",relu,100,0.001,512,0.905,0.915
"[32, 16]",relu,100,0.0001,16,0.9175,0.92
"[32, 16]",relu,100,0.0001,32,0.90375,0.92
"[32, 16]",relu,100,0.0001,64,0.89,0.925
"[32, 16]",relu,100,0.0001,128,0.8775,0.895
"[32, 16]",relu,100,0.0001,256,0.79125,0.8
"[32, 16]",relu,100,0.0001,512,0.635,0.63
"[32, 16]",relu,250,10.0,16,0.5225,0.45
"[32, 16]",relu,250,10.0,32,0.51875,0.44
"[32, 16]",relu,250,10.0,64,0.48125,0.56
"[32, 16]",relu,250,10.0,128,0.52125,0.44
"[32, 16]",relu,250,10.0,256,0.63125,0.66
"[32, 16]",relu,250,10.0,512,0.51875,0.44
"[32, 16]",relu,250,1.0,16,0.51875,0.44
"[32, 16]",relu,250,1.0,32,0.4825,0.56
"[32, 16]",relu,250,1.0,64,0.48125,0.56
"[32, 16]",relu,250,1.0,128,0.52125,0.455
"[32, 16]",relu,250,1.0,256,0.48125,0.56
"[32, 16]",relu,250,1.0,512,0.51875,0.44
"[32, 16]",relu,250,0.1,16,0.565,0.505
"[32, 16]",relu,250,0.1,32,0.4825,0.56
"[32, 16]",relu,250,0.1,64,0.80125,0.78
"[32, 16]",relu,250,0.1,128,0.67375,0.64
"[32, 16]",relu,250,0.1,256,0.8725,0.88
"[32, 16]",relu,250,0.1,512,0.99875,0.98
"[32, 16]",relu,250,0.01,16,1.0,0.96
"[32, 16]",relu,250,0.01,32,1.0,0.955
"[32, 16]",relu,250,0.01,64,1.0,0.96
"[32, 16]",relu,250,0.01,128,1.0,0.955
"[32, 16]",relu,250,0.01,256,1.0,0.945
"[32, 16]",relu,250,0.01,512,1.0,0.955
"[32, 16]",relu,250,0.001,16,1.0,0.97
"[32, 16]",relu,250,0.001,32,1.0,0.955
"[32, 16]",relu,250,0.001,64,1.0,0.955
"[32, 16]",relu,250,0.001,128,0.9875,0.965
"[32, 16]",relu,250,0.001,256,0.97125,0.96
"[32, 16]",relu,250,0.001,512,0.96625,0.96
